File	Wikitext	BHL Page ID	Instance of	Published In	Bibliography ID	Illustrator	Inception	Collection	Sponsor
Beitrag zur Flora Brasiliens (Pl. 1) (8226085151).jpg	== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8226085151\n| description = 'm... <br>\n'^^Hcax/v^ <br>\n^J^r^ct: f/f^. <br>\n- * <br>\n^/ .f^.^ .rr.^'\n| pageid = 789009\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 1\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789009\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789009\n*dc:identifier https://www.biodiversitylibrary.org/page/789009\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8226085151|2015-08-31 02:54:17|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]	789009	Illustration	Beitrag zur Flora Brasiliens	909				
Beitrag zur Flora Brasiliens (Pl. 10) (8226088683).jpg	"== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8226088683\n| description = //o/. ri . <br>\nm <br>\n\ <br>\nv^ <br>\n\ <br>\n7.€^U//7/M <br>\n//Scuh//^ yyf. ^//y/.fC. <br>\n. <br>\n^^. <br>\n''^oC^. <br>\n^ ^y^'^ •''"""" ^' '\n| pageid = 789115\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 10\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789115\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789115\n*dc:identifier https://www.biodiversitylibrary.org/page/789115\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8226088683|2015-08-31 02:55:50|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]"	789115	Illustration	Beitrag zur Flora Brasiliens	909				
Beitrag zur Flora Brasiliens (Pl. 11) (8227161476).jpg	"== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8227161476\n| description = w <br>\n\^ <br>\n\ <br>\n.^' <br>\nl <br>\n^s, <br>\n»;f <br>\n\1 <br>\nT <br>\n7 <br>\n1 <br>\no <br>\nA^ <br>\n,?. <br>\nV. <br>\n5' <br>\nDf <br>\nB_l' <br>\n«•If <br>\n.V <br>\n^i <br>\niJ' <br>\n\. <br>\ny <br>\n■/. <br>\n/ <br>\ny <br>\n\\: <br>\ny <br>\n\l <br>\n\L <br>\ny <br>\n.r <br>\nV <br>\nV <br>\nh <br>\n■.v <br>\n// <br>\n'/ <br>\nivT <br>\nl <br>\nST"" <br>\n'/y <br>\n■ <br>\n/ <br>\n/ <br>\n7 <br>\n'^ <br>\nY <br>\nV <br>\n^^ <br>\n.^- <br>\n.^' <br>\nV <br>\n1 <br>\nH <br>\n\J <br>\nih <br>\nf <br>\n'/1 <br>\n/ <br>\n.'Ct <br>\n/; <br>\n^\ <br>\n'i.i& <br>\nr <br>\n^i.*. <br>\n^ H <br>\nij/: <br>\n^^ftflo <br>\n,J. <br>\nJl-i <br>\n& <br>\n«0 # <br>\nfl <br>\n// <br>\n.f» <br>\nL^; <br>\n; f <br>\nv'//V <br>\nf. <br>\n/. <br>\n""-. <br>\nTfl <br>\nfi <br>\nV <br>\n^ <br>\n\ <br>\nv <br>\n\ <br>\n/. <br>\n.V <br>\nV. <br>\n\ <br>\ni <br>\n\. <br>\n11 <br>\nV <br>\n•J <br>\n\1 <br>\n\ <br>\nn <br>\n\ <br>\nkSi <br>\nV <br>\nX <br>\n^. <br>\n\ <br>\n\ <br>\n^ <br>\n\ <br>\n\ <br>\n/i <br>\n^M^^ ,^mM/e9i^m^^.^ tJK e^eJu. <br>\nV, <br>\n'( jji <br>\n.* <br>\n/, <br>\n't^m <br>\n'/f. C^tM0^ //UU^'i\n| pageid = 789130\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 11\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789130\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789130\n*dc:identifier https://www.biodiversitylibrary.org/page/789130\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8227161476|2015-08-31 02:56:52|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]"	789130	Illustration	Beitrag zur Flora Brasiliens	909				
Beitrag zur Flora Brasiliens (Pl. 12) (8227161802).jpg	"== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8227161802\n| description = ^d. /^ <br>\n\ <br>\nTT. <br>\n^iiitfctfL <br>\n7)r <br>\n1 <br>\nVV/i <br>\n///f €//./' e/i <br>\nA^^c4(^dtJ.y. <br>\n""""^^.^. <br>\nrfJ^n^^ UOht^ C\n| pageid = 789133\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 12\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789133\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789133\n*dc:identifier https://www.biodiversitylibrary.org/page/789133\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8227161802|2015-08-31 02:53:16|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]"	789133	Illustration	Beitrag zur Flora Brasiliens	909				
Beitrag zur Flora Brasiliens (Pl. 13) (8227162136).jpg	== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8227162136\n| description = <br>\nj <br>\nm <br>\ni^U^ <br>\n• / <br>\n// ^/y ^r/ <br>\n,¥. ^ *i0f^^ .//y^^ ^\n| pageid = 789136\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 13\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789136\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789136\n*dc:identifier https://www.biodiversitylibrary.org/page/789136\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8227162136|2015-08-31 02:59:33|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]	789136	Illustration	Beitrag zur Flora Brasiliens	909				
Beitrag zur Flora Brasiliens (Pl. 14) (8226090267).jpg	== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8226090267\n| description = i <br>\nl <br>\nm. <br>\n' W ■ /2. . <br>\n'^t/U a^ <br>\ny <br>\n^^. <br>\nI^lfy^ ^m^\n| pageid = 789143\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 14\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789143\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789143\n*dc:identifier https://www.biodiversitylibrary.org/page/789143\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8226090267|2015-08-31 02:52:13|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]	789143	Illustration	Beitrag zur Flora Brasiliens	909				
Beitrag zur Flora Brasiliens (Pl. 2) (8226085515).jpg	== {{int:filedesc}} ==\n{{BHL\n| title = Beitrag zur Flora Brasiliens /von Maximilian, Prinz en von Wied-Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius.\n| source = https://www.flickr.com/photos/biodivlibrary/8226085515\n| description = ^^V^ '/r^f^t/!^\n| pageid = 789018\n| itemid = 15491\n| titleid = 909\n| pagenumbers = Pl. 2\n| pagetypes = Illustration\n| volume = \n| pageurl = https://www.biodiversitylibrary.org/page/789018\n| date = {{other date|between|1823|1824}}\n| DOI = 10.5962/bhl.title.909\n| author = Academia Caesarea Leopoldino-Carolina Naturae Curiosorum.; Martius, Karl Friedrich Philipp von; Nees von Esenbeck, Christian Gottfried Daniel; Wied, Maximilian; Wild, T.\n| names = \n| permissions = {{Biodiversity Heritage Library}}\n| other_versions =\n| other_fields ={{Information field|name=Flickr sets|value={{flatlist|\n*Beitrag zur Flora Brasiliens\n}}}}{{Information field|name=Flickr tags|value={{flatlist|\n*1823-24\n*Brazil\n*Copper engraving\n*Graphic media :\n*Plants\n*Uncolored\n*Missouri Botanical Garden, Peter H. Raven Library\n*bhl:page 789018\n*dc:identifier https://www.biodiversitylibrary.org/page/789018\n*missouri botanical garden, peter h. raven library\n}}}}{{Information field|name=Flickr posted date|value={{ISOdate|1=2012-11-28}}}}\n}}\n\n== {{int:license-header}} ==\n\n{{CC-BY-2.0}}\n{{User:FlickreviewR/reviewed-pass|BioDivLibrary|https://flickr.com/photos/61021753@N02/8226085515|2015-08-31 02:51:04|cc-by-2.0|}}\n{{PD-scan|PD-old-70-1923}}\n\n\n[[Category:Beitrag zur Flora Brasiliens]]\n[[Category:Photos uploaded from Flickr by Fæ using a script]]	789018	Illustration	Beitrag zur Flora Brasiliens	909				
